bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct
-0.230000,68010.100000,0.003676,68010.200000,2.124103,68010.200000,3216.975488,66418.300000,64555.000000,68318.400000,-153.400000
-0.230000,68010.100000,0.853676,68010.200000,1.876661,68010.200000,3216.975708,66418.300000,64555.000000,68318.400000,-153.400000
-0.230000,68010.100000,9.826625,68010.200000,0.000283,68010.200000,3216.921453,66418.300000,64555.000000,68318.400000,-153.400000
-0.190000,68033.600000,8.343723,68033.700000,0.000211,68033.700000,3216.908104,66418.300000,64555.000000,68318.400000,-129.900000
-0.220000,68015.000000,0.021057,68030.600000,10.579683,68015.000000,3217.055141,66418.400000,64555.000000,68318.400000,-148.600000
